UniprotID,chembl_targets,type
P51812,CHEMBL2345,SINGLE PROTEIN
P51812,CHEMBL4106179,PROTEIN FAMILY
P51812,CHEMBL3832633,PROTEIN FAMILY
P51813,CHEMBL3834,SINGLE PROTEIN
P51813,CHEMBL4296642,PROTEIN FAMILY
P51817,CHEMBL5818,SINGLE PROTEIN
P51955,CHEMBL3835,SINGLE PROTEIN
P51956,CHEMBL5679,SINGLE PROTEIN
P51957,CHEMBL5819,SINGLE PROTEIN
P52333,CHEMBL2148,SINGLE PROTEIN
P52333,CHEMBL3038491,PROTEIN COMPLEX
P52333,CHEMBL2363062,PROTEIN FAMILY
P52564,CHEMBL2171,SINGLE PROTEIN
P53350,CHEMBL3024,SINGLE PROTEIN
P53355,CHEMBL2558,SINGLE PROTEIN
P53355,CHEMBL3885543,PROTEIN-PROTEIN INTERACTION
P53667,CHEMBL3836,SINGLE PROTEIN
P53667,CHEMBL3885599,PROTEIN FAMILY
P53671,CHEMBL5932,SINGLE PROTEIN
P53671,CHEMBL3885599,PROTEIN FAMILY
P53778,CHEMBL4674,SINGLE PROTEIN
P53778,CHEMBL2094115,PROTEIN FAMILY
P53778,CHEMBL3038503,PROTEIN FAMILY
P53779,CHEMBL2637,SINGLE PROTEIN
P53779,CHEMBL2096667,PROTEIN FAMILY
P53779,CHEMBL3038502,PROTEIN FAMILY
P53779,CHEMBL3885602,PROTEIN FAMILY
P54646,CHEMBL2116,SINGLE PROTEIN
P54646,CHEMBL2096907,PROTEIN COMPLEX GROUP
P54646,CHEMBL3038454,PROTEIN COMPLEX
P54646,CHEMBL3038455,PROTEIN COMPLEX
P54646,CHEMBL3038456,PROTEIN COMPLEX
P54646,CHEMBL3038457,PROTEIN COMPLEX
P54646,CHEMBL4106158,PROTEIN COMPLEX
P54646,CHEMBL4106159,PROTEIN COMPLEX
P54646,CHEMBL3885504,PROTEIN COMPLEX
P54753,CHEMBL4901,SINGLE PROTEIN
P54753,CHEMBL2363043,PROTEIN FAMILY
P54756,CHEMBL3987,SINGLE PROTEIN
P54756,CHEMBL2363043,PROTEIN FAMILY
P54760,CHEMBL2363043,PROTEIN FAMILY
P54760,CHEMBL5147,SINGLE PROTEIN
P54762,CHEMBL5072,SINGLE PROTEIN
P54762,CHEMBL2363043,PROTEIN FAMILY
P54764,CHEMBL3988,SINGLE PROTEIN
P54764,CHEMBL2363043,PROTEIN FAMILY
