,UniprotID,Name,kinhub,klifs,pkinfam,reviewed_uniprot,dunbrack_msa
446,Q53H12,AGK,False,False,False,True,False
447,Q53R41,FAKD1,False,False,False,True,False
448,Q56UN5,M3K19|MAP3K19,True,True,True,True,True
449,Q58A45,PAN3,True,True,True,True,True
450,Q58F21,BRDT,True,True,False,False,False
451,Q59H18,TNNI3K|TNI3K,True,True,True,True,True
452,Q5EBM0,CMPK2,False,False,False,True,False
453,Q5H9B9,BM2KL,False,False,False,True,False
454,Q5JZY3,EPHAA|EPHA10,True,True,True,True,True
455,Q5KSL6,DGKK,False,False,False,True,False
456,Q5MAI5,CDKL4,True,True,True,True,True
457,Q5S007,LRRK2,True,True,True,True,True
458,Q5SY16,NOL9,False,False,False,True,False
459,Q5T6J7,GNTK,False,False,False,True,False
460,Q5T9C9,PI5L1,False,False,False,True,False
461,Q5TCQ9,MAGI3,False,False,False,True,False
462,Q5TCS8,KAD9,False,False,False,True,False
463,Q5TCX8,MAP3K21|M3K21,True,True,True,True,True
464,Q5TCY1,TTBK1,True,True,True,True,True
465,Q5UE93,PI3R6,False,False,False,True,False
466,Q5VST9,OBSCN|OBSCN-b,True,True,True,True,True
467,Q5VT25,CDC42BPA|MRCKA,True,True,True,True,True
468,Q6A1A2,PDPK2|PDPK2P,False,True,True,True,True
469,Q6DT37,MRCKG|CDC42BPG,True,True,True,True,True
470,Q6IBK5,,True,False,False,False,False
471,Q6IQ55,TTBK2,True,True,True,True,True
472,Q6J9G0,STYK1,True,True,True,True,True
473,Q6P0Q8,MAST2,True,True,True,True,True
474,Q6P2M8,KCC1B|PNCK,True,True,True,True,True
475,Q6P3R8,NEK5,True,True,True,True,True
476,Q6P3W7,SCYL2,True,True,True,True,True
477,Q6P5Z2,PKN3,True,True,True,True,True
478,Q6PCE3,PGM2L,False,False,False,True,False
479,Q6PFW1,VIP1,False,False,False,True,False
480,Q6PHR2,ULK3,True,True,True,True,True
481,Q6SA08,TSSK4,True,True,True,True,True
482,Q6VAB6,KSR2,True,True,True,True,True
483,Q6X4U4,SOSD1,False,False,False,True,False
484,Q6XUX3,DUSTY|DSTYK,True,True,True,True,True
485,Q6ZMQ8,AATK|LMTK1,True,True,True,True,True
486,Q6ZN16,M3K15|MAP3K15,True,True,True,True,True
487,Q6ZS72,PEAK3,False,False,True,True,True
488,Q6ZS86,GLPK5,False,False,False,True,False
489,Q6ZWH5,NEK10,True,True,True,True,True
490,Q76MJ5,ERN2,True,True,True,True,True
491,Q7KZI7,MARK2,True,True,True,True,True
492,Q7L7X3,TAOK1,True,True,True,True,True
493,Q7L8L6,FAKD5,False,False,False,True,False
494,Q7RTN6,STRADA|STRAA,True,True,True,True,True
495,Q7Z2Y5,NRK,True,True,True,True,True
496,Q7Z695,ADCK2,True,True,True,True,False
497,Q7Z7A4,PXK,True,True,True,False,True
498,Q86SG6,NEK8,True,True,True,True,True
499,Q86TB3,ALPK2,True,True,True,True,False
500,Q86TW2,ADCK1,True,True,True,True,False
501,Q86UE8,TLK2,True,True,True,True,True
502,Q86UW6,N4BP2,False,False,False,True,False
503,Q86UX6,STK32C|ST32C,True,True,True,True,True
504,Q86V86,PIM3,True,True,True,True,True
505,Q86VZ5,SMS1,False,False,False,True,False
506,Q86XP1,DGKH,False,False,False,True,False
507,Q86XW9,TXND6,False,False,False,True,False
508,Q86Y07,VRK2,True,True,True,True,True
509,Q86YV5,PRAG1,True,True,True,True,True
510,Q86YV6,MYLK4,True,True,True,True,True
511,Q86Z02,HIPK1,True,True,True,True,True
512,Q8IU85,CAMK1D|KCC1D,True,True,True,True,True
513,Q8IV42,PSTK,False,False,False,True,False
514,Q8IV63,VRK3,True,True,True,True,True
515,Q8IVH8,MAP4K3|M4K3,True,True,True,True,True
516,Q8IVS8,GLCTK,False,False,False,True,False
517,Q8IVT5,KSR1,True,True,True,True,True
518,Q8IVW4,CDKL3,True,True,True,True,True
519,Q8IW41,MAPKAPK5|MAPK5,True,True,True,True,True
520,Q8IWB6,TEX14,True,True,True,True,True
521,Q8IWQ3,BRSK2,True,True,True,True,True
522,Q8IWU2,LMTK2,True,True,True,True,True
523,Q8IXL6,FA20C,False,False,False,True,False
524,Q8IY49,PAQRA,False,False,False,True,False
525,Q8IY84,NIM1|NIM1K,True,True,True,True,True
526,Q8IYT8,ULK2,True,True,True,True,True
527,Q8IZE3,SCYL3|PACE1,True,True,True,False,True
528,Q8IZL9,CDK20,True,True,True,True,True
529,Q8IZX4,TAF1L,True,True,False,True,False
530,Q8N0W3,FCSK,False,False,False,True,False
531,Q8N165,PDK1L|PDIK1L,True,True,True,True,True
532,Q8N2I9,STK40,True,True,True,True,True
533,Q8N2S1,LTBP4,False,False,False,True,False
534,Q8N441,FGRL1,False,False,False,True,False
535,Q8N4C8,MINK1,True,True,True,True,True
536,Q8N568,DCLK2,True,True,True,True,True
537,Q8N5S9,KKCC1|CAMKK1,True,True,True,True,True
538,Q8N752,CSNK1A1L|KC1AL,True,True,True,True,True
539,Q8N8J0,PI4P1|PI4KAP1,False,True,False,True,False
540,Q8NB16,MLKL,True,True,True,False,True
541,Q8NCB2,CAMKV,True,True,True,True,True
542,Q8NE28,STKL1|STKLD1,True,True,True,True,True
543,Q8NE63,HIPK4,True,True,True,True,True
544,Q8NEB9,PK3C3|PIK3C3,False,True,False,True,False
545,Q8NER5,ACVR1C|ACV1C,True,True,True,True,True
546,Q8NEV1,CSNK2A3|CSK23,False,True,True,True,True
547,Q8NEV4,MYO3A,True,True,True,True,True
548,Q8NFD2,ANKK1,True,True,True,True,True
549,Q8NFU5,IPMK,False,False,False,True,False
550,Q8NG66,NEK11,True,True,True,True,True
551,Q8NHU3,SMS2,False,False,False,True,False
552,Q8NI60,COQ8A|ADCK3,True,True,True,True,False
